City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,payson,40.0444,-111.7321,285.6,47,0,1.24,US,1682775865
1,lihue,21.9789,-159.3672,295.92,94,40,5.14,US,1682775866
2,adamstown,-25.066,-130.1015,297.47,78,100,4.45,PN,1682775866
3,waitangi,-43.9535,-176.5597,285.27,92,100,4.06,NZ,1682775866
4,tosagua,-0.7833,-80.25,297.54,93,100,1.55,EC,1682775867
5,vorgashor,67.5833,63.95,266.21,93,99,4.63,RU,1682775361
6,port-aux-francais,-49.35,70.2167,280.75,96,91,11.48,TF,1682775868
7,invercargill,-46.4,168.35,284.83,82,13,0.89,NZ,1682775805
8,grytviken,-54.2811,-36.5092,275.63,82,100,4.39,GS,1682775869
9,boende,-0.2167,20.8667,296.81,83,100,0.77,CD,1682775869
10,puerto natales,-51.7236,-72.4875,277.4,87,75,2.57,CL,1682775870
11,rio de janeiro,-22.9028,-43.2075,299.12,78,75,1.54,BR,1682775871
12,whitehorse,60.7161,-135.0538,276.38,70,75,5.14,CA,1682775725
13,samus',56.7475,84.6992,280.93,49,37,3.7,RU,1682775872
14,port mathurin,-19.6833,63.4167,299.01,80,0,5.45,MU,1682775872
15,stanley,54.868,-1.6985,281.08,88,75,2.57,GB,1682775873
16,niafunke,15.9322,-3.9906,313.94,4,0,5.08,ML,1682775873
17,paranhos,-23.8928,-55.4311,296.21,68,0,3.72,BR,1682775874
18,ribeira grande,38.5167,-28.7,291.37,82,20,7.6,PT,1682775874
19,papatowai,-46.5619,169.4708,280.16,75,17,2.53,NZ,1682775875
20,san julian,21.0167,-102.1667,289.86,17,13,1.44,MX,1682775875
21,yellowknife,62.456,-114.3525,274.44,69,40,1.54,CA,1682775595
22,ancud,-41.8697,-73.8203,283.79,74,68,6.71,CL,1682775877
23,bikenibeu village,1.3673,173.1241,301.13,78,40,3.6,KI,1682775336
24,bredasdorp,-34.5322,20.0403,291.44,53,26,6.16,ZA,1682775878
25,usogorsk,63.4106,48.6872,274.01,88,100,6.51,RU,1682775479
26,darovskoy,58.77,47.9564,289.37,70,86,5.38,RU,1682775879
27,west island,-12.1568,96.8225,301.14,89,100,2.06,CC,1682775879
28,kingston,17.997,-76.7936,303.28,64,20,2.06,JM,1682775728
29,kapuskasing,49.4169,-82.4331,278.2,87,75,3.09,CA,1682775413
30,souillac,-20.5167,57.5167,300.36,74,40,3.09,MU,1682775882
31,gisborne,-38.6533,178.0042,287.98,91,100,2.89,NZ,1682775437
32,hamilton,39.1834,-84.5333,286.8,87,20,2.06,US,1682775081
33,agbor,6.2518,6.1934,302.91,63,100,2.03,NG,1682775883
34,vila franca do campo,37.7167,-25.4333,291.38,80,100,5.0,PT,1682775373
35,blackmans bay,-43.0167,147.3167,283.0,68,7,3.61,AU,1682775884
36,palembang,-2.9167,104.7458,302.2,79,40,1.54,ID,1682775884
37,griffith,41.5284,-87.4237,287.76,58,0,1.54,US,1682775885
38,olonkinbyen,70.9221,-8.7187,268.88,89,100,10.32,SJ,1682775885
39,enewetak,11.3474,162.3373,299.8,82,85,6.92,MH,1682775886
40,fale old settlement,-9.3852,-171.2468,301.97,78,50,7.55,TK,1682775886
41,nuku'alofa,-21.1333,-175.2,299.34,89,75,3.6,TO,1682775887
